Codigo Nacional,Nombre,Lat,Lon,Ubicacion,Latitud,Longitud,Distancia_km
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Quillota,-32.8833,-71.25,1617.96
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región Metropolitana,-33.45,-70.6667,1678.74
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Ñuble,-36.6,-72.1,2035.99
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Limarí,-30.7,-71.3,1376.05
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Limache,-33.0167,-71.2667,1632.86
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Arica y Parinacota,-18.5,-69.75,64.31
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia del Elquí,-30.0,-70.9,1296.04
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Coquimbo,-29.95,-71.34,1293.21
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Curicó,-34.9833,-71.2333,1851.02
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Linares,-35.85,-71.6,1949.23
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Diguillín,-36.75,-72.1,2052.6
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Carahue,-38.7,-73.1667,2278.65
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región del Maule,-35.4,-71.7,1899.99
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de O'Higgins,-34.6,-71.3,1808.79
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Talca,-35.4333,-71.6667,1903.45
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Chacabuco,-33.2833,-70.7,1660.28
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de San Felipe de Aconcagua,-32.75,-70.7,1600.99
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Valparaíso,-33.05,-71.6167,1638.9
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Melipilla,-33.7,-71.2,1708.36
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Petorca,-32.25,-70.9333,1546.13
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de La Araucanía,-38.75,-72.6,2278.26
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Talagante,-33.6667,-70.9333,1703.54
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Santiago,-33.45,-70.6667,1678.74
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Paine,-33.8167,-70.75,1719.68
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Huasco,-28.5,-71.25,1131.81
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Copiapó,-27.37,-70.33,1002.36
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Cabildo,-32.4333,-71.0833,1567.14
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Cautín,-38.7333,-72.6,2276.41
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Quillón,-36.7333,-72.4667,2054.07
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Illapel,-31.6333,-71.1667,1478.75
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región del Bíobío,-37.45,-72.3,2131.77
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Valle de Camiña,-19.3167,-69.5333,136.51
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Hijuelas,-32.8,-71.15,1608.18
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Colchagua,-34.58,-70.99,1805.22
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Los Andes,-32.8333,-70.6,1610.06
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Llanquihue,-41.25,-73.0,2558.31
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Maipo,-33.6667,-70.75,1703.01
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Cachapoal,-34.3,-70.9,1773.81
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Los Lagos,-41.5,-73.0,2585.93
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Arauco,-37.25,-73.3333,2121.15
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Llay Llay,-32.85,-70.9333,1612.8
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Angol,-37.8,-72.7,2174.26
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia del Biobío,-37.5,-71.9,2134.18
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Ñuble,-36.6,-72.1,2035.99
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Ovalle-Copiapó,-30.6,-71.2,1364.28
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Valle de Huasco,-28.5,-71.2,1131.4
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Pan de Azúcar,-29.8,-71.25,1275.89
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,La Ligua,-32.45,-71.23,1569.76
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Calama,-22.4667,-68.9333,480.06
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Temuco,-38.7333,-72.6,2276.41
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de Palena,-43.5,-72.5,2803.26
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Provincia de San Antonio,-33.6,-71.6,1699.73
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Calera,-32.7833,-71.2167,1606.68
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,Región de Tarapacá,-20.2,-69.2,237.46
180005,"Chacalluta, Arica Ap.",-18.35555,-70.34028,La Cruz,-32.8167,-71.2333,1610.48
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Quillota,-32.8833,-71.25,1375.57
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región Metropolitana,-33.45,-70.6667,1435.31
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Ñuble,-36.6,-72.1,1794.46
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Limarí,-30.7,-71.3,1134.26
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Limache,-33.0167,-71.2667,1390.48
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Arica y Parinacota,-18.5,-69.75,232.29
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia del Elquí,-30.0,-70.9,1053.36
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Coquimbo,-29.95,-71.34,1051.78
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Curicó,-34.9833,-71.2333,1608.31
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Linares,-35.85,-71.6,1706.98
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Diguillín,-36.75,-72.1,1811.03
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Carahue,-38.7,-73.1667,2038.47
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región del Maule,-35.4,-71.7,1657.99
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de O'Higgins,-34.6,-71.3,1566.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Talca,-35.4333,-71.6667,1661.39
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Chacabuco,-33.2833,-70.7,1416.9
