Origen,Region
Provincia de Quillota,Región de Valparaíso
Región Metropolitana,Región Metropolitana
Región de Ñuble,Región de Ñuble
Provincia de Limarí,Región de Coquimbo
Limache,Región de Valparaíso
Región de Arica y Parinacota,Región de Arica y Parinacota
Provincia del Elquí,Región de Coquimbo
Región de Coquimbo,Región de Coquimbo
Provincia de Curicó,Región del Maule
Provincia de Linares,Región del Maule
Provincia de Diguillín,Región de Ñuble
Carahue,Región de La Araucanía
Región del Maule,Región del Maule
Región de O'Higgins,Región de O'Higgins
Provincia de Talca,Región del Maule
Provincia de Chacabuco,Región Metropolitana
Provincia de San Felipe de Aconcagua,Región de Valparaíso
Región de Valparaíso,Región de Valparaíso
Provincia de Melipilla,Región Metropolitana
Provincia de Petorca,Región de Valparaíso
Región de La Araucanía,Región de La Araucanía
Provincia de Talagante,Región Metropolitana
Provincia de Santiago,Región Metropolitana
Paine,Región Metropolitana
Provincia de Huasco,Región de Atacama
Provincia de Copiapó,Región de Atacama
Cabildo,Región de Valparaíso
Provincia de Cautín,Región de La Araucanía
Quillón,Región de Ñuble
Illapel,Región de Coquimbo
Región del Bíobío,Región del Biobío
Valle de Camiña,Región de Tarapacá
Hijuelas,Región de Valparaíso
Provincia de Colchagua,Región de O'Higgins
Provincia de Los Andes,Región de Valparaíso
Provincia de Llanquihue,Región de Los Lagos
Provincia de Maipo,Región Metropolitana
Provincia de Cachapoal,Región de O'Higgins
Región de Los Lagos,Región de Los Lagos
Provincia de Arauco,Región del Biobío
Llay Llay,Región de Valparaíso
Angol,Región de La Araucanía
Provincia del Biobío,Región del Biobío
Provincia de Ñuble,Región de Ñuble
Ovalle-Copiapó,Región de Coquimbo
Valle de Huasco,Región de Atacama
La Ligua,Región de Valparaíso
Provincia de Calama,Región de Antofagasta
Provincia de Palena,Región de Los Lagos
Provincia de San Antonio,Región de Valparaíso
Calera,Región de Valparaíso
La Cruz,Región de Valparaíso
Provincia de Choapa,Región de Coquimbo
Chillán,Región de Ñuble
Provincia de Malleco,Región de La Araucanía
